Food Name,Measure,Weight (g),Energy (kcal),Energy (kJ),Protein (g),Carbohydrate (g),Total Sugar (g),Total Dietary Fibre (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Calcium (mg),Iron (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Vitamin A (RAE),Folate (DFE),Vitamin C (mg),Vitamin B12 (mcg)
#Supplements
ALLMAX ISO WHEY - Strawberry,1,30,120,502,27,3,0,0,0.5,0,0,120,0,60,160,0,0,0,0,2,0
North Coast Naturals ISO Protein 100 - chocolate,1 scoop,30,120,502,24,2,1,1,1.5,0.5,10,220,0.6,30,100,25,60,tr,tr,tr,tr
#Fast Food Side Dishes
Milk shake chocolate,250 mL,175,223,931,6,36,33,3.3,6,4.1,23,198,0.5,170,351,30,179,46,9,1,0.6
Milk shake vanilla,250 mL,175,195,814,6,31,31,0.2,5,3.3,19,214,0.2,144,305,21,179,65,9,1,0.63
French fries,20-25 fries,76,236,989,3,29,N/A,2.5,12,5,11,12,1,124,541,25,101,2,25,4,0.09
Garlic bread,2 slices,52,192,801,5,26,tr,1.5,8,1.3,0,40,1.3,384,65,14,56,74,97,tr,0.01
Onion rings breaded and fried,9,83,276,1152,4,31,N/A,1.7,16,7,14,73,0.8,430,129,16,86,1,85,1,0.12
Zucchini breaded and fried sticks,4,36,60,250,1,3,1,0.3,5,0.5,5,18,0.2,44,81,6,36,8,9,3,0.05
#Fast Food Sandwiches
Breakfast bagel with ham egg and cheese,1,191,483,2019,27,52,7,0.4,18,7.8,243,185,4.1,1259,262,40,397,181,172,0,1.39
Breakfast biscuit with egg cheese and bacon,1,144,477,1993,16,33,3,1.1,31,11.4,261,164,2.5,1260,230,20,459,N/A,64,2,1.05
Breakfast English muffin with egg cheese and bacon,1,137,289,1208,17,27,3,1.5,13,4.7,234,151,2.4,729,199,23,270,177,86,2,0.67
Cheeseburger double patty + condiments + vegetables,1,228,650,2718,30,53,N/A,1.8,35,12.8,93,169,4.7,921,390,36,349,N/A,131,3,2.07
Cheeseburger single patty ,1,102,319,1335,15,32,6,1.3,15,6.5,50,141,2.4,500,164,21,196,N/A,N/A,0,0.97
Chicken sandwich breaded chicken + condiments + vegetables,1,228,632,2640,29,42,N/A,2.2,39,12.4,78,258,3.6,1238,333,43,406,164,154,3,0.46
Chicken sandwich grilled chicken + condiments + vegetables,1,169,335,1402,33,23,3,1.2,12,2.2,78,70,2.1,330,449,37,36,23,83,2,0.41
Donair / Gyro,1,195,310,1295,22,37,3,2,7,2.8,49,98,3.1,361,404,40,223,22,115,6,1.82
Fish sandwich with breaded fish,1,183,523,2189,21,48,N/A,2.4,29,8.1,68,185,3.5,939,353,37,311,N/A,134,3,1.08
Hamburger double patty + condiments,1,215,576,2410,32,39,N/A,1.9,32,12,103,92,5.5,742,527,45,284,N/A,111,1,3.33
Hamburger single patty plain,1,90,275,1148,12,31,5,1.3,12,4.1,35,63,2.4,387,145,19,103,0,N/A,0,0.89
Submarine sandwich (6 inches) vegetarian,1,167,216,904,7,38,3,3.4,4,0.8,0,77,2.7,529,236,27,88,25,213,20,0
